ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;Cod_qualifica;Desc_qualifica;GENERE;Età_MEDIA
2020;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;61,8
2020;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;60,0
2020;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;52,0
2020;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;51,8
2020;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;40,0
2020;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;47,0
2020;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;39,6
2020;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;54,0
2020;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;57,5
2020;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;52,3
2020;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;36,6
2020;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;37,3
2020;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;59,0
2020;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;59,7
2020;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;53,4
2020;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;54,0
2020;01508;Milano - Università Vita-Salute San Raffaele;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;36,5
